"","GK","CB","FB","DM_CM","AM_W","FW"
"GK",25,0,0,0,0,0
"CB",0,56,0,0,0,0
"FB",0,1,61,1,0,0
"DM_CM",0,3,5,69,5,0
"AM_W",0,0,1,4,63,6
"FW",0,0,0,0,4,38
