"f1","max_depth_1","feature_subset_strategy_1"
0.923622797362375,10,"sqrt"
0.920758159646465,15,"onethird"
0.920729999760407,10,"onethird"
0.919098148603868,5,"onethird"
0.91781582954652,15,"sqrt"
0.916880394397676,10,"log2"
0.914898978499993,15,"log2"
0.914424827295397,5,"sqrt"
0.912747309989057,5,"log2"
0.91114844309135,3,"sqrt"
0.898560035415522,3,"log2"
0.898385836163819,3,"onethird"
