"","GK","CB","FB","DM_CM","AM_W","FW"
"GK",25,0,0,0,0,0
"CB",0,57,0,0,0,0
"FB",0,2,65,1,0,0
"DM_CM",0,1,1,71,5,0
"AM_W",0,0,1,2,65,5
"FW",0,0,0,0,2,39
