"Precision","Recall","F1","Balanced Accuracy","klasa"
1,1,1,1,"GK"
1,0.95,0.974358974358974,0.975,"CB"
0.955882352941177,0.970149253731343,0.962962962962963,0.979620081411126,"FB"
0.91025641025641,0.959459459459459,0.934210526315789,0.966670028237192,"DM_CM"
0.89041095890411,0.902777777777778,0.896551724137931,0.936574074074074,"AM_W"
0.951219512195122,0.886363636363636,0.917647058823529,0.939826113483832,"FW"
