"f1","subsampling_rate_1","min_instances_per_node_1"
0.919235749808002,0.8,1
0.918002546270395,1,5
0.916021497677361,0.6,1
0.915846323447331,1,20
0.915177036531416,0.8,5
0.914424827295397,1,1
0.913547925345381,0.6,5
0.911590126561313,0.8,20
0.906568652538064,0.6,20
