"f1","max_depth_1","impurity_1"
0.885746231165418,5,"entropy"
0.884428817761713,5,"gini"
0.882533977458481,10,"entropy"
0.878837188089641,15,"entropy"
0.873903097125815,10,"gini"
0.861000930558417,15,"gini"
