"f1","min_info_gain_1","min_instances_per_node_1"
0.885235812297232,0.01,1
0.884638605608463,0.01,5
0.884428817761713,0,1
0.884428817761713,0.001,1
0.882291312256464,0,5
0.882291312256464,0.001,5
0.879670349907106,0,20
0.879670349907106,0.001,20
0.879670349907106,0.01,20
0.873156586322036,0,10
0.873156586322036,0.001,10
0.873156586322036,0.01,10
0.870690735131147,0,50
0.870690735131147,0.001,50
0.870690735131147,0.01,50
