"player_id","team","player","position","pos_purity","minutes","passes_p90","passes_completed_p90","long_passes_p90","key_passes_p90","assists_p90","carries_p90","shots_p90","goals_p90","xg_p90","dribbles_p90","dribbles_completed_p90","pressures_p90","ball_recoveries_p90","interceptions_p90","clearances_p90","blocks_p90","duels_p90","tackles_p90","fouls_p90","dispossessed_p90","miscontrols_p90","ball_receipts_p90","pass_completion_pct","dribble_success_pct","avg_pass_length","mean_x","mean_y","sd_x","sd_y","f3_share","d3_share","position_group","purity6"
3103,"Lyon","Milan Biševac","Right Center Back",1,477.3,56.568,52.231,14.519,0,0,41.106,0,0,0,0.377,0.377,7.731,3.771,1.131,4.148,1.508,2.64,1.508,0.943,0.189,0,46.197,0.923,1,23.78,40.97,55.8,15.67,11.11,0.014,0.421,"CB",1
310534,"Gazélec Ajaccio","Louis Poggi","Right Center Midfield",0.432,735.7,18.716,10.643,4.526,0.245,0.122,15.169,1.223,0,0.108,0.734,0.367,15.658,3.425,0.856,1.468,2.447,4.159,1.713,0.612,0.856,2.691,30.827,0.569,0.5,21.26,69.5,59.53,27.63,15.84,0.398,0.182,"DM_CM",0.526
3109,"Bordeaux","Malcom Filipe Silva de Oliveira","Right Wing",0.499,507,36.211,26.093,6.568,1.42,0,32.128,1.775,0.178,0.116,2.663,1.598,10.118,3.373,0.71,0.533,1.42,2.13,0.71,1.243,1.598,2.308,48.813,0.721,0.6,17.89,77.68,44.7,23.31,28.26,0.484,0.078,"AM_W",0.981
3111,"Angers","Gilles Sunu","Right Wing",0.359,2450.1,28.064,20.313,3.086,0.771,0.037,31.811,1.69,0.073,0.103,2.314,0.955,20.166,4.445,0.331,0.11,1.286,4.628,1.322,1.212,2.645,3.453,54.107,0.724,0.413,16.12,71.46,48.37,24.77,25.66,0.393,0.117,"AM_W",0.758
3112,"Fiorentina","Anton Ciprian Tătărușanu","Goalkeeper",1,3457.8,29.36,22.306,13.821,0,0,15.044,0,0,0,0.026,0.026,0.156,3.93,0,0,0,0,0,0,0,0.052,14.263,0.76,1,35.19,9.43,40.59,6.03,8.7,0,0.992,"GK",1
3114,"Nantes","Emiliano Sala","Center Forward",0.693,2042.9,26.697,17.401,1.762,1.189,0.132,25.287,2.643,0.264,0.232,1.982,0.837,22.38,3.833,0.441,1.057,1.85,7.71,1.145,2.599,2.819,4.229,61.808,0.652,0.422,13.86,81.03,40.47,21.11,21.9,0.535,0.029,"FW",0.959
31172,"Empoli","Luca Bittante","Right Back",0.933,580.1,59.114,47.012,7.603,0.621,0,39.72,0.31,0,0.003,1.396,0.621,15.671,5.12,1.086,2.638,2.017,4.344,3.103,0.931,0.465,1.086,46.081,0.795,0.444,17.78,58.29,65.74,26.71,15.61,0.22,0.255,"FB",0.97
31174,"Toulouse","Jean-Daniel Akpa Akpro","Right Center Midfield",0.503,2654.9,39.052,28.543,4.17,0.61,0.136,33.899,0.678,0.034,0.042,2.271,1.288,30.306,5.966,1.424,1.458,2.678,6.915,4.475,2.305,1.966,1.966,40.713,0.731,0.567,16.99,60.5,47.57,25.13,22.28,0.235,0.22,"DM_CM",0.773
3118,"Lyon","Jordan Ferri","Right Center Midfield",0.798,2527.3,66.058,56.906,8.155,1.389,0.178,60.182,1.14,0.071,0.077,1.959,1.14,21.438,6.339,0.285,0.57,0.855,3.419,2.208,2.03,2.386,2.137,70.117,0.861,0.582,18.61,65.25,52.91,21.46,18.38,0.256,0.11,"DM_CM",0.986
3121,"Guingamp","Moustapha Elhadji Diallo","Right Defensive Midfield",0.816,1992.6,33.876,25.52,4.291,0.226,0.09,22.132,0.723,0.045,0.08,0.678,0.497,19.512,5.194,1.31,3.026,3.162,5.646,2.62,2.394,1.084,0.903,27.778,0.753,0.733,17.95,54.44,46.89,23.75,16.49,0.129,0.267,"DM_CM",1
3122,"Guingamp","Yannis Salibur","Right Midfield",0.574,2434,26.918,16.528,4.733,0.813,0.185,30.542,2.884,0.259,0.12,3.808,2.219,12.831,5.288,0.518,0.111,0.961,2.995,1.553,1.368,2.551,2.958,41.93,0.614,0.583,19.1,76.04,52.04,25.06,24.35,0.467,0.086,"AM_W",0.807
31231,"Atalanta","Davide Brivio","Left Back",0.97,1067.8,55.037,41.383,6.658,0.506,0,33.46,0.759,0,0.014,0.506,0.169,11.378,4.973,0.506,2.528,1.854,1.854,0.927,0.674,0.674,1.18,38.77,0.752,0.333,17.98,59.04,11.59,26.9,9.71,0.229,0.253,"FB",0.97
3124,"Guingamp","Jérémy Sorbon","Left Center Back",0.998,3155.6,35.593,30.346,10.667,0.029,0,25.012,0.228,0.057,0.026,0.171,0.114,9.754,4.25,1.398,4.421,1.882,2.766,1.911,0.627,0.171,0.057,24.043,0.853,0.667,25,38.53,27.3,17.97,13.86,0.023,0.556,"CB",1
31268,"Palermo","Michel Morganella","Right Wing Back",0.404,1125.4,39.425,27.349,7.517,0.32,0.08,25.83,0.4,0,0.015,1.12,0.64,16.554,4.878,0.8,1.679,1.599,3.918,1.839,2.159,0.88,0.96,29.349,0.694,0.571,19.55,61.22,54.9,29.23,25.5,0.281,0.24,"FB",0.94
31273,"Carpi","Marco Crimi","Right Center Midfield",0.642,1031.4,30.366,20.069,5.846,0.698,0.087,25.915,0.698,0,0.03,2.705,1.047,40.487,6.108,1.658,1.047,4.276,6.981,4.363,3.752,1.92,1.309,34.554,0.661,0.387,18.59,60.9,49.79,27.08,20.74,0.24,0.236,"DM_CM",0.914
31296,"Norwich City","Sébastien Aymar Bassong Nguena","Left Center Back",1,2923.3,29.247,22.69,6.989,0.062,0,17.241,0.616,0.031,0.057,0.4,0.369,7.697,3.325,0.739,7.173,1.231,2.617,0.862,0.831,0.216,0.185,18.349,0.776,0.923,22.85,40.25,26.83,21.76,14.61,0.048,0.532,"CB",1
3136,"OGC Nice","Rémi Walter","Left Center Midfield",0.87,582.6,66.27,58.237,5.87,0.772,0,58.083,1.854,0,0.104,2.008,1.545,22.553,7.569,0.309,0.927,2.163,4.016,2.935,1.236,1.236,1.081,62.563,0.879,0.769,16.4,59.48,31.36,19.84,17.76,0.153,0.146,"DM_CM",0.992
3140,"Lorient","François Bellugou","Left Defensive Midfield",0.377,2433.5,50.335,43.086,8.173,0.296,0.037,38.352,0.111,0,0.005,0.999,0.777,18.825,5.141,1.59,2.034,2.293,3.255,2.108,1.553,0.814,0.777,40.645,0.856,0.778,19.74,50.65,37.34,18.71,20.01,0.055,0.285,"DM_CM",0.853
3144,"Nantes","Léo Dubois","Right Back",0.689,2067.3,50.762,36.918,12.625,0.871,0,33.566,0.479,0,0.014,1.35,0.653,16.326,5.66,1.524,2.394,1.916,4.528,2.96,1.045,0.871,0.871,34.436,0.727,0.484,22.46,54.31,51.02,27.12,28.71,0.192,0.319,"FB",1
3145,"Lazio","Keita Baldé Diao","Left Wing",0.649,1884.9,31.991,23.921,3.677,1.814,0.048,38.007,3.008,0.191,0.251,4.059,2.101,11.412,3.963,0.334,0.095,1.05,2.292,0.764,1.432,2.34,2.722,55.244,0.748,0.518,15.97,82.1,28.44,22.49,23.86,0.571,0.047,"AM_W",0.812
31488,"Hellas Verona","Vangelis Moras","Right Center Back",0.573,2897.9,36.523,29.69,9.069,0.155,0.031,22.205,0.248,0.031,0.016,0.28,0.248,8.789,3.789,0.87,5.373,1.615,2.857,1.77,0.963,0.28,0.217,22.858,0.813,0.889,23.15,40.66,43.53,21.17,18.01,0.042,0.513,"CB",1
3150,"Bordeaux","Jaroslav Plašil","Right Center Midfield",0.461,2189.2,50.401,43.166,5.221,0.822,0.123,38.644,0.822,0.123,0.051,1.85,0.946,19.815,4.933,0.74,1.274,1.85,4.604,2.467,0.904,0.904,1.439,50.853,0.856,0.511,17.37,63.34,43.59,21.7,20.27,0.217,0.124,"DM_CM",0.884
3151,"Nantes","Jules Iloki","Right Wing",0.621,1065.5,35.56,24.073,4.561,1.436,0.084,32.182,1.52,0.084,0.247,2.534,1.436,19.089,4.561,0.676,0.422,1.858,2.787,1.351,2.027,2.027,1.774,42.824,0.677,0.567,17.55,74.1,62.11,27.27,17.84,0.451,0.133,"AM_W",0.989
3156,"Lyon","Rafael Pereira da Silva","Right Back",0.907,1501.3,62.824,50.355,7.194,0.48,0.12,44.84,0.719,0.06,0.085,1.978,1.019,17.085,4.976,1.259,2.158,2.398,5.215,3.597,1.499,1.259,1.379,47.957,0.802,0.515,17.62,62.5,65.25,26.53,16.7,0.272,0.202,"FB",0.986
