"k","distance","kernel","f1","f1_sd","f1_se"
21,1,"rectangular",0.9292,0.0249,0.0079
31,1,"rectangular",0.9278,0.0197,0.0062
15,1,"rectangular",0.924,0.0293,0.0093
9,2,"rectangular",0.9232,0.0269,0.0085
31,2,"rectangular",0.9225,0.0162,0.0051
5,2,"rectangular",0.9216,0.0321,0.0102
15,2,"rectangular",0.9203,0.0196,0.0062
5,1,"rectangular",0.9196,0.0302,0.0095
9,3,"rectangular",0.919,0.0225,0.0071
9,1,"rectangular",0.9182,0.0284,0.009
21,2,"rectangular",0.9174,0.016,0.0051
21,3,"rectangular",0.9164,0.014,0.0044
5,3,"rectangular",0.9135,0.027,0.0086
15,3,"rectangular",0.9124,0.0191,0.006
31,3,"rectangular",0.9099,0.0208,0.0066
